RecordID,Acerage,List_Price,Address,Cities_Towns,County,Style,Full_Baths,Half_Baths,Bedrooms,Rooms,Basmnt_Desc,Exterior,Cool_System,Heat_System,Water,Sewer,FHA_55_,Land_Assessment,Building_Assessment,Tax_Amount
2,0.55,219000,205 MAIN ST,Andover Boro,Sussex,Victorian,1,0,3,6,1,0,0,1,1,0,0,72700,106300,5219
3,0.38,389000,120 MAIN ST,Andover Boro,Sussex,Victorian,2,0,4,9,1,1,0,0,1,0,0,70300,162900,7100
4,0.32,144900,365 Mohegan CI,Andover Twp.,Sussex,Multi Floor Unit,1,1,2,7,0,0,1,1,1,1,0,50000,62200,4031
5,0.34,148888,8 LINDA LN,Andover Twp.,Sussex,Cape Cod,1,0,3,6,1,1,0,1,0,0,0,88400,89800,6402
6,2.15,169900,4 HILLTOP RD,Andover Twp.,Sussex,Cape Cod,1,0,4,6,1,0,0,1,0,0,0,100800,162100,9445
7,0.40,175000,92 CHEYENNE RD,Andover Twp.,Sussex,Multi Floor Unit,1,0,2,5,1,0,1,1,1,1,0,50000,59900,3948
8,0.34,179900,8 WOODLAWN DR,Andover Twp.,Sussex,Contemporary,1,1,3,6,0,0,0,0,1,0,0,88400,137100,8102
9,0.26,179900,9 IRVING PL,Andover Twp.,Sussex,Ranch,1,0,2,5,1,0,1,1,0,0,0,87600,50300,4954
10,0.78,199900,64 PERONA RD,Andover Twp.,Sussex,Ranch,1,0,3,6,1,1,0,0,0,0,0,88000,46000,4814
11,0.57,246000,604 LIMECREST RD,Andover Twp.,Sussex,Colonial,2,1,4,8,0,1,1,1,0,0,0,77600,182600,9348
12,0.58,249900,118 HILLSIDE DR,Andover Twp.,Sussex,Bi-Level,2,1,3,11,1,0,0,0,0,0,0,90800,121400,7624
13,2.48,249900,420 ROUTE 206,Andover Twp.,Sussex,Colonial,1,1,4,11,1,1,0,0,0,0,0,83300,228500,11202
14,3.40,277000,2 VALLEYFIELD RD,Andover Twp.,Sussex,Bi-Level,3,0,3,9,1,0,1,1,0,0,0,110900,181900,10520
15,0.44,288000,102 ANDOVER SPART,Andover Twp.,Sussex,Ranch,2,0,3,7,1,1,1,1,1,0,0,75500,155200,8289
16,0.60,289000,216 SUSSEX AVE,Andover Twp.,Sussex,Bi-Level,2,1,4,9,0,1,1,0,1,0,0,72900,120600,6952
17,0.23,289000,14 MOUNTAINSIDE D,Andover Twp.,Sussex,Cape Cod,2,0,3,7,0,0,1,0,1,0,0,77300,98500,6316
18,0.43,299000,5 SUNSET TER,Andover Twp.,Sussex,Custom Home,3,0,3,8,1,1,1,1,0,0,0,89300,162700,9054
19,0.76,299000,127 OVERLOOK RD,Andover Twp.,Sussex,Custom Home,2,1,4,12,1,1,0,0,1,0,0,88900,219300,11073
20,0.70,312700,320 ANDOVER SPART,Andover Twp.,Sussex,Bi-Level,2,1,4,11,1,0,1,0,1,0,0,82000,146400,8206
21,12.55,319000,2 FLORENCE LN,Andover Twp.,Sussex,Colonial,2,1,4,10,1,1,1,1,0,0,0,134900,240800,13209
22,0.41,319900,19 WINDING WAY,Andover Twp.,Sussex,Bi-Level,2,1,3,8,0,0,1,0,0,0,0,84600,125200,7538
23,0.85,324900,129 CEDAR DR,Andover Twp.,Sussex,Ranch,2,0,3,5,1,1,1,0,1,0,0,93500,91800,6657
24,0.42,329500,7 PENN AVE,Andover Twp.,Sussex,Custom Home,2,1,4,9,0,0,0,0,1,0,0,80100,157100,8522
25,0.30,349000,41 PAYNE RD,Andover Twp.,Sussex,Ranch,2,0,3,7,0,1,1,0,1,0,0,78000,142400,7918
26,3.73,349500,109 HILLSIDE DR,Andover Twp.,Sussex,Custom Home,2,1,4,11,1,1,1,0,0,0,0,113700,206800,11515
27,0.49,349900,34 GOODALE RD,Andover Twp.,Sussex,Colonial,2,2,3,9,1,1,1,1,0,0,0,89900,178000,9625
28,11.00,365000,1 CLUB RD,Andover Twp.,Sussex,Ranch,1,0,2,6,1,1,0,0,0,0,0,80800,147700,8210
29,0.92,370000,86 GREENDALE RD,Andover Twp.,Sussex,Split Level,4,1,4,12,1,1,1,0,1,0,0,89300,311200,14389
30,2.72,379000,7 LEWMAY DR,Andover Twp.,Sussex,Cape Cod,4,0,3,8,1,1,1,0,0,0,0,93200,214500,11055
31,2.56,385000,123 ELM AVE,Andover Twp.,Sussex,Colonial,3,1,4,9,1,1,1,1,0,0,0,102800,201600,10937
32,0.31,399000,5 OXFORD DR,Andover Twp.,Sussex,Custom Home,2,0,3,8,1,1,0,0,1,0,0,122000,168800,10448
33,0.78,404900,36 KILROY RD,Andover Twp.,Sussex,Cape Cod,3,0,5,10,1,1,1,0,1,0,0,92800,259100,12643
34,1.44,409900,73 SKYTOP RD,Andover Twp.,Sussex,Colonial,3,1,4,10,1,1,1,1,0,0,0,92000,288400,13374
35,4.09,419000,5 victoria pines lane,Andover Twp.,Sussex,Colonial,2,1,4,9,1,1,1,1,0,0,0,110500,200200,10924
36,3.49,440000,38 MULFORD RD,Andover Twp.,Sussex,Colonial,2,1,4,15,1,0,1,1,0,0,0,96700,315400,14806
37,1343.00,449000,10 PERONA RD,Andover Twp.,Sussex,Colonial,2,1,4,8,1,1,1,1,0,0,0,101700,25600,12873
38,7.00,454900,31 PERONA RD,Andover Twp.,Sussex,Contemporary,2,0,4,11,0,1,1,1,0,0,0,123500,277400,14404
39,3.89,489900,1 EILEENS WAY,Andover Twp.,Sussex,Colonial,2,1,4,11,1,1,1,0,0,0,0,104000,356700,16552
40,3.54,499900,7 MINDYS WAY,Andover Twp.,Sussex,Colonial,2,1,4,10,1,1,1,0,0,0,0,101700,300100,14436
41,1.29,519900,3 EILEENS WAY,Andover Twp.,Sussex,Colonial,2,1,4,9,1,0,1,1,0,0,0,81100,0,2913
42,4.64,525000,2 HIDDEN VALLEY R,Andover Twp.,Sussex,Colonial,2,1,4,9,1,1,1,1,0,0,0,118200,244700,13038
43,1.48,555000,2 LOURDES CT,Andover Twp.,Sussex,Colonial,3,0,5,11,1,1,1,1,0,0,0,81800,0,2939
44,2.50,559000,184 Andover Mohawk R,Andover Twp.,Sussex,Colonial,3,1,4,15,1,1,1,0,0,0,0,128600,423600,19840
45,4.07,599000,4 HIGHLAND CT,Andover Twp.,Sussex,Colonial,4,0,4,10,1,1,1,1,0,0,0,109600,504700,22071
46,5.58,599000,111 ANDOVER MOHA,Andover Twp.,Sussex,Colonial,2,1,4,10,1,1,1,0,0,0,0,112000,392700,18133
47,2.50,599900,160 WARBASSE JUNC,Andover Twp.,Sussex,Colonial,2,1,4,10,1,1,1,1,0,0,0,135400,345100,16894
48,3.00,614000,16 BALLANTINE RD,Andover Twp.,Sussex,Ranch,3,1,3,14,1,1,1,0,0,0,0,94500,260200,12744
49,10.20,650000,6 LOURDES CT,Andover Twp.,Sussex,Ranch,2,0,4,7,1,0,1,0,0,0,0,5100,5100,183
50,1.05,656000,10 BALLANTINE RD,Andover Twp.,Sussex,Colonial,2,1,4,8,1,1,1,1,0,0,0,95300,0,3350
51,3.67,677000,26 BALLANTINE RD,Andover Twp.,Sussex,Colonial,3,1,4,12,1,0,1,1,0,0,0,107700,472300,20839
52,1.82,690000,30 BRIGHTON RD,Andover Twp.,Sussex,Expanded Ranch,2,0,3,6,1,0,1,1,0,0,0,99100,0,3484
53,3.49,699000,15 LOURDES CT,Andover Twp.,Sussex,Colonial,2,1,4,8,1,1,1,1,0,0,0,107500,0,3779
54,9.87,760000,22 BALLANTINE RD,Andover Twp.,Sussex,Cape Cod,1,1,2,7,1,1,0,0,1,0,0,119100,135000,9129
55,2.08,899000,33 Pierce,Andover Twp.,Sussex,Colonial,4,0,4,11,1,0,1,1,0,0,0,84300,84300,3028
56,1.62,1250000,175 WARBASSE JUNC,Andover Twp.,Sussex,Colonial,2,1,4,8,1,1,1,1,1,0,0,98100,0,3449
57,9.85,239000,13 DECKER HILL RD,Andover Twp.,Sussex,Colonial,4,1,5,14,1,0,1,1,0,0,0,99700,602700,25237
